"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1849","5.7 Cancel from overview returns to inventory","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","1760","5.8 Complete order shows confirmation","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","523","2.4 Sort products by Price (low to high)","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","589","3.5 Remove product from cart via detail page","chromium","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","789","4.8 Cart badge persists across navigation","chromium","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","523","6.3 Form inputs trigger keyboard and remain visible","chromium","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","529","2.1 Inventory page default state after login","chromium","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","1883","5.9 Back Home returns to inventory after completion","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","1660","5.5 Cancel from step one returns to cart","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","570","4.7 Checkout button accessible from cart","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","593","3.4 Add product to cart from detail page","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","461","6.5 Orientation change preserves layout","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","1710","5.6 Checkout overview shows totals","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","512","2.1 Inventory page default state after login","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","648","4.5 Remove item from cart page","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","496","6.2 Touch targets have adequate size","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","1735","5.5 Cancel from step one returns to cart","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","2208","2.6 Hamburger menu opens and closes","chromium","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","553","4.7 Checkout button accessible from cart","chromium","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","464","6.4 Vertical scrolling works in inventory list","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","1750","5.3 Missing Last Name shows validation error","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","710","1.1 Login with valid credentials (happy path)","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","619","2.3 Sort products by Name (Z to A)","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","510","4.4 Empty cart state","chromium","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","637","4.6 Continue Shopping returns to inventory","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","507","2.2 Sort products by Name (A to Z) - default","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","596","4.1 Add multiple products to cart from inventory","chromium","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","523","2.10 Footer social media links","chromium","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","554","2.3 Sort products by Name (Z to A)","chromium","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","1847","5.9 Back Home returns to inventory after completion","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","591","4.5 Remove item from cart page","chromium","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","379","1.4 Login attempt with locked_out_user","chromium","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","608","4.3 Open cart page via cart icon","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","653","4.2 Add/Remove toggles cart badge","chromium","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","542","4.3 Open cart page via cart icon","chromium","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","420","1.3 Login with missing password","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","1835","5.10 End-to-end purchase flow (happy path)","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","1808","5.8 Complete order shows confirmation","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","579","6.3 Form inputs trigger keyboard and remain visible","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","601","4.1 Add multiple products to cart from inventory","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","516","2.2 Sort products by Name (A to Z) - default","chromium","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","1803","5.7 Cancel from overview returns to inventory","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","1737","5.2 Missing First Name shows validation error","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","1688","5.3 Missing Last Name shows validation error","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","417","1.2 Login with empty username and password","chromium","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","608","3.3 Back to products button","chromium","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","567","3.2 Open product detail by clicking image","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","404","1.3 Login with missing password","chromium","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","506","6.2 Touch targets have adequate size","chromium","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","1507","2.8 Reset App State clears cart","chromium","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","1787","5.10 End-to-end purchase flow (happy path)","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","583","3.3 Back to products button","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","1679","5.1 Checkout step one - valid information","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","543","2.5 Sort products by Price (high to low)","chromium","2026-08-06","passed","2026-08-06","Inventory","saucedemo/inventory.spec.js","",""
"","344","1.7 Login form lists accepted usernames and password","chromium","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","548","6.1 No horizontal scrollbar on Pixel 7 viewport","chromium","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","473","6.5 Orientation change preserves layout","chromium","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","415","1.4 Login attempt with locked_out_user","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","620","4.6 Continue Shopping returns to inventory","chromium","2026-08-06","passed","2026-08-06","Cart","saucedemo/cart.spec.js","",""
"","593","3.1 Open product detail by clicking title","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Product Details","saucedemo/product-details.spec.js","",""
"","1736","5.4 Missing Zip shows validation error","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","425","1.5 Login with invalid credentials","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Authentication","saucedemo/auth.spec.js","",""
"","726","6.6 No critical console errors during flow","Mobile Chrome (Pixel 7)","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
"","1673","5.4 Missing Zip shows validation error","chromium","2026-08-06","passed","2026-08-06","Checkout","saucedemo/checkout.spec.js","",""
"","722","6.6 No critical console errors during flow","chromium","2026-08-06","passed","2026-08-06","Mobile UX","saucedemo/mobile-ux.spec.js","",""
